,Date,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state
113,2016-09-01,53071,Walla Walla,260490.0,,,225,,,67.0,,,48,,,0,,,56,,,1,,,140.63132631674682,,,2064.0,,,352553.73867563275,,,226,,,0.0044444444444444,,,0,wa
114,2016-09-01,53073,Whatcom,387250.0,,,845,,,67.0,,,284,,,4,,,236,,,0,,,193.69120088544548,,,1928.5,,,515246.17269872833,,,845,,,,,,0,wa
115,2016-09-01,53075,Whitman,202250.0,,,173,,,96.0,,,28,,,0,,,40,,,5,,,103.012912482066,,,1983.0,,,225863.05557136357,,,178,,,0.0289017341040462,,,0,wa
116,2016-09-01,53077,Yakima,224400.0,,,479,,,63.0,,,164,,,0,,,88,,,284,,,117.7192527480527,,,1999.0,,,269164.03997541434,,,763,,,0.592901878914405,,,0,wa
117,2016-10-01,53001,Adams,141500.0,,,36,,,99.0,,,8,,,0,,,4,,,1,,,93.36913378473032,,,1513.0,,,163846.0,,,37,,,0.0277777777777777,,,0,wa
118,2016-10-01,53003,Asotin,199000.0,,,116,,,68.0,,,20,,,0,,,16,,,0,,,105.10510510510512,,,2102.0,,,238253.71900826445,,,116,,,,,,0,wa
119,2016-10-01,53005,Benton,289900.0,,,635,,,53.0,,,264,,,12,,,208,,,2,,,134.19117647058823,,,2229.0,,,329167.7328671329,,,637,,,0.0031496062992125,,,0,wa
120,2016-10-01,53007,Chelan,379000.0,,,427,,,92.0,,,96,,,0,,,76,,,6,,,196.1382113821138,,,2012.0,,,523091.6231263384,,,433,,,0.0140515222482435,,,0,wa
121,2016-10-01,53009,Clallam,315000.0,,,545,,,83.0,,,64,,,0,,,60,,,0,,,165.93625498007967,,,1910.0,,,403460.98930481286,,,545,,,,,,0,wa
122,2016-10-01,53011,Clark,385000.0,,,1556,,,52.0,,,620,,,48,,,536,,,81,,,172.5067385444744,,,2303.0,,,478424.3068322981,,,1637,,,0.0520565552699228,,,0,wa
123,2016-10-01,53013,Columbia,149900.0,,,51,,,176.0,,,4,,,0,,,4,,,0,,,84.69440164355419,,,1873.0,,,225812.94444444444,,,51,,,,,,0,wa
124,2016-10-01,53015,Cowlitz,259000.0,,,362,,,68.0,,,140,,,0,,,104,,,10,,,132.14285714285714,,,1968.0,,,294835.8193069307,,,372,,,0.0276243093922651,,,0,wa
125,2016-10-01,53017,Douglas,309900.0,,,117,,,53.0,,,44,,,0,,,36,,,1,,,154.19354838709677,,,2275.0,,,405954.80916030536,,,118,,,0.0085470085470085,,,0,wa
126,2016-10-01,53019,Ferry,185000.0,,,113,,,171.0,,,0,,,0,,,4,,,1,,,107.84789644012945,,,1776.0,,,234459.0909090909,,,114,,,0.0088495575221238,,,0,wa
127,2016-10-01,53021,Franklin,260000.0,,,190,,,49.0,,,80,,,4,,,56,,,0,,,126.03464870067371,,,2184.0,,,286481.2850678733,,,190,,,0.0,,,0,wa
128,2016-10-01,53023,Garfield,133700.0,,,19,,,116.0,,,4,,,0,,,0,,,0,,,63.40579710144928,,,2044.0,,,156961.875,,,19,,,,,,0,wa
129,2016-10-01,53025,Grant,229900.0,,,327,,,101.0,,,72,,,4,,,44,,,1,,,124.42129629629628,,,1790.0,,,271142.3131868132,,,328,,,0.0030581039755351,,,0,wa
130,2016-10-01,53027,Grays Harbor,179900.0,,,479,,,95.0,,,72,,,4,,,92,,,0,,,122.00956937799045,,,1522.0,,,218363.4852071006,,,479,,,,,,0,wa
